year,geo_name,geo,nativity_foreign,nativity_foreign_18to24,nativity_foreign_18to24_moe,nativity_foreign_25to34,nativity_foreign_25to34_moe,nativity_foreign_35to44,nativity_foreign_35to44_moe,nativity_foreign_45to54,nativity_foreign_45to54_moe,nativity_foreign_55to59,nativity_foreign_55to59_moe,nativity_foreign_5to17,nativity_foreign_5to17_moe,nativity_foreign_60to61,nativity_foreign_60to61_moe,nativity_foreign_62to64,nativity_foreign_62to64_moe,nativity_foreign_65to74,nativity_foreign_65to74_moe,nativity_foreign_75over,nativity_foreign_75over_moe,nativity_foreign_moe,nativity_foreign_under5,nativity_foreign_under5_moe,nativity_us,nativity_us_moe,nativity_us_under5,nativity_us_under5_moe,nativity_us_5to17,nativity_us_5to17_moe,nativity_us_18to24,nativity_us_18to24_moe,nativity_us_25to34,nativity_us_25to34_moe,nativity_us_35to44,nativity_us_35to44_moe,nativity_us_45to54,nativity_us_45to54_moe,nativity_us_55to59,nativity_us_55to59_moe,nativity_us_60to61,nativity_us_60to61_moe,nativity_us_62to64,nativity_us_62to64_moe,nativity_us_65to74,nativity_us_65to74_moe,nativity_us_75over,nativity_us_75over_moe
2013,"West Lafayette, IN","16000US1882862",25.1,2875.0,344.0,1378.0,258.0,683.0,168.0,765.0,231.0,204.0,76.0,400.0,152.0,57.0,45.0,88.0,56.0,150.0,71.0,79.0,66.0,1.6,92.0,53.0,22.3,0.3,779.0,214.63,2256.0,322.357,12014.0,730.943,1509.0,287.899,1406.0,238.833,1452.0,233.152,810.0,173.712,327.0,104.7,341.0,120.503,777.0,196.604,1695.0,303.252
2014,"West Lafayette, IN","16000US1882862",24.9,3077.0,445.0,1597.0,299.0,578.0,146.0,768.0,254.0,187.0,85.0,398.0,170.0,59.0,49.0,69.0,52.0,173.0,76.0,105.0,78.0,1.8,88.0,55.0,22.2,0.3,829.0,228.443,2268.0,314.504,12410.0,839.398,1580.0,288.905,1352.0,286.442,1368.0,216.926,820.0,186.255,337.0,159.129,399.0,124.258,867.0,205.11,1514.0,260.077
2015,"West Lafayette, IN","16000US1882862",23.9,4920.0,454.0,2559.0,286.0,923.0,184.0,870.0,280.0,241.0,93.0,638.0,170.0,41.0,37.0,80.0,53.0,226.0,83.0,118.0,70.0,0.7,140.0,69.0,21.5,0.2,1049.0,231.355,2702.0,437.677,20480.0,1016.95,1969.0,322.574,1410.0,287.091,1494.0,271.663,861.0,217.435,359.0,125.483,334.0,106.794,875.0,176.649,1710.0,284.953
