year,geo_name,geo,income_100to125,income_100to125_moe,income_10to15,income_10to15_moe,income_125to150,income_125to150_moe,income_150to200,income_150to200_moe,income_15to20,income_15to20_moe,income_200over,income_200over_moe,income_20to25,income_20to25_moe,income_25to30,income_25to30_moe,income_30to35,income_30to35_moe,income_35to40,income_35to40_moe,income_40to45,income_40to45_moe,income_45to50,income_45to50_moe,income_50to60,income_50to60_moe,income_60to75,income_60to75_moe,income_75to100,income_75to100_moe,income_under10,income_under10_moe,totalhouseholds,totalhouseholds_moe
2013,"United States","01000US",9285900.0,44286.0,6214550.0,16925.0,5572340.0,31574.0,5651850.0,31873.0,6236900.0,17145.0,5532630.0,32847.0,6231710.0,17720.0,5929560.0,13959.0,6000200.0,15506.0,5410070.0,15256.0,5465380.0,13996.0,4847700.0,14804.0,9249960.0,20676.0,11494100.0,28808.0,14107000.0,52951.0,8380360.0,19177.0,115610000.0,238223.0
2014,"United States","01000US",9410150.0,45348.0,6189390.0,15777.0,5713600.0,31533.0,5857720.0,33034.0,6225980.0,18669.0,5845380.0,32351.0,6176940.0,17017.0,5936980.0,15704.0,5933730.0,15137.0,5456900.0,15294.0,5431370.0,14063.0,4792870.0,14866.0,9179220.0,24284.0,11540100.0,29474.0,14125400.0,47784.0,8395340.0,16627.0,116211000.0,230463.0
2015,"United States","01000US",9581180.0,47995.0,6161480.0,15350.0,5775360.0,31309.0,6010420.0,32124.0,6139640.0,16066.0,6139040.0,32967.0,6227520.0,15413.0,5852050.0,17935.0,5951930.0,15584.0,5436930.0,15238.0,5428390.0,16329.0,4807120.0,14457.0,9192920.0,22197.0,11634300.0,35808.0,14166500.0,49496.0,8421480.0,18763.0,116926000.0,226951.0
2013,"West Lafayette, IN","16000US1882862",539.0,155.0,1091.0,247.0,407.0,118.0,422.0,128.0,937.0,240.0,558.0,138.0,719.0,192.0,652.0,190.0,626.0,215.0,435.0,132.0,528.0,161.0,265.0,120.0,542.0,141.0,720.0,192.0,998.0,224.0,2650.0,317.0,12089.0,417.0
2014,"West Lafayette, IN","16000US1882862",565.0,142.0,1012.0,225.0,332.0,113.0,442.0,117.0,969.0,254.0,490.0,119.0,757.0,172.0,796.0,161.0,578.0,192.0,383.0,111.0,538.0,171.0,233.0,86.0,678.0,181.0,704.0,177.0,884.0,165.0,2563.0,321.0,11924.0,402.0
2015,"West Lafayette, IN","16000US1882862",566.0,154.0,1219.0,243.0,348.0,105.0,483.0,129.0,1015.0,237.0,552.0,134.0,802.0,210.0,761.0,212.0,638.0,183.0,531.0,128.0,494.0,150.0,245.0,94.0,782.0,214.0,855.0,223.0,914.0,180.0,3165.0,391.0,13370.0,566.0
