year,geo_name,geo,acs_occ_name,acs_occ,num_emp,num_emp_moe,num_emp_rca
2015.0,"West Lafayette, IN","16000US1882862","Life, Physical, & Social Science","0001020000",739.0,169.779,4.71285
2015.0,"West Lafayette, IN","16000US1882862","Community & Social Service","0002000000",215.0,85.276,0.728221
2015.0,"West Lafayette, IN","16000US1882862","Legal","0002010000",125.0,70.9366,0.585135
2015.0,"West Lafayette, IN","16000US1882862","Education, Training, & Library","0002020000",4399.0,460.124,4.21137
2015.0,"West Lafayette, IN","16000US1882862","Arts & Recreation","0002030000",377.0,131.59,1.04731
2015.0,"West Lafayette, IN","16000US1882862","Health Practitioners","0003000000",430.0,121.824,0.660242
2015.0,"West Lafayette, IN","16000US1882862","Health Technicians","0003010000",115.0,59.4054,0.382596
2015.0,"West Lafayette, IN","16000US1882862","Healthcare Support","0100000000",157.0,80.9938,0.357462
2015.0,"West Lafayette, IN","16000US1882862","Law Enforcement Supervisors","0101000000",133.0,68.4251,0.60122
2015.0,"West Lafayette, IN","16000US1882862","Fire Fighting Supervisors","0101010000",46.0,58.1808,0.286116
2015.0,"West Lafayette, IN","16000US1882862","Food & Serving","0102000000",1705.0,287.863,1.61376
2015.0,"West Lafayette, IN","16000US1882862","Cleaning & Maintenance","0103000000",362.0,120.739,0.512694
2015.0,"West Lafayette, IN","16000US1882862","Personal Care & Service","0104000000",1135.0,243.655,1.71447
2015.0,"West Lafayette, IN","16000US1882862","Sales","0200000000",1431.0,268.017,0.766023
2015.0,"West Lafayette, IN","16000US1882862","Administrative","0201000000",1857.0,330.929,0.809119
2015.0,"West Lafayette, IN","16000US1882862","Farming, Fishing, & Forestry","0300000000",64.0,39.6611,0.634875
2015.0,"West Lafayette, IN","16000US1882862","Construction & Extraction","0301000000",187.0,91.2195,0.233143
2015.0,"West Lafayette, IN","16000US1882862","Installation, Maintenance, & Repair","0302000000",159.0,90.2497,0.316114
2015.0,"West Lafayette, IN","16000US1882862","Production","0400000000",408.0,166.643,0.421718
2015.0,"West Lafayette, IN","16000US1882862","Transportation","0401000000",172.0,93.0484,0.290911
2015.0,"West Lafayette, IN","16000US1882862","Material Moving","0402000000",192.0,89.0505,0.428657
