year,geo_name,geo,transport_bicycle,transport_bicycle_moe,transport_carpooled,transport_carpooled_2_person,transport_carpooled_2_person_moe,transport_carpooled_3_person,transport_carpooled_3_person_moe,transport_carpooled_4_person,transport_carpooled_4_person_moe,transport_carpooled_5_6_person,transport_carpooled_5_6_person_moe,transport_carpooled_7_more_person,transport_carpooled_7_more_person_moe,transport_carpooled_moe,transport_cartruckorvan_moe,transport_drove,transport_drove_moe,transport_home,transport_home_moe,transport_motorcycle,transport_motorcycle_moe,transport_other,transport_other_moe,transport_publictrans,transport_publictrans_bus,transport_publictrans_bus_moe,transport_publictrans_ferry,transport_publictrans_ferry_moe,transport_publictrans_moe,transport_publictrans_rail,transport_publictrans_rail_moe,transport_publictrans_streetcar,transport_publictrans_streetcar_moe,transport_publictrans_subway,transport_publictrans_subway_moe,transport_taxi,transport_taxi_moe,transport_walked,transport_walked_moe,workers,workers_moe
2013,"United States","01000US",802450.0,7657.0,13631300.0,10522700.0,43709.0,1818710.0,18975.0,669623.0,8590.0,350218.0,5115.0,270039.0,5187.0,60703.0,161792.0,106725000.0,111405.0,6046380.0,21247.0,295469.0,4474.0,1203950.0,11935.0,7000720.0,3670200.0,15845.0,41996.0,1660.0,21139.0,763025.0,7141.0,84019.0,2063.0,2441480.0,12996.0,158124.0,3682.0,3922800.0,16357.0,139787000.0,142773.0
2014,"United States","01000US",832750.0,6717.0,13554400.0,10437500.0,41552.0,1827970.0,19343.0,673105.0,8244.0,349232.0,4985.0,266548.0,3444.0,61669.0,158330.0,107991000.0,109172.0,6171590.0,19620.0,294635.0,4881.0,1242770.0,12532.0,7157670.0,3721480.0,15995.0,45418.0,1605.0,18697.0,779236.0,7235.0,83801.0,2317.0,2527740.0,10745.0,160553.0,3562.0,3932120.0,17452.0,141337000.0,142073.0
2015,"United States","01000US",860362.0,6962.0,13575300.0,10429300.0,40531.0,1846630.0,18906.0,684346.0,8010.0,355188.0,5737.0,259822.0,3835.0,60271.0,158211.0,109733000.0,109819.0,6352740.0,18023.0,295676.0,4348.0,1274840.0,11561.0,7362040.0,3777010.0,16109.0,49202.0,1426.0,19316.0,814019.0,7203.0,84072.0,2284.0,2637740.0,11831.0,168251.0,3392.0,3998630.0,17308.0,143621000.0,143374.0
2013,"West Lafayette, IN","16000US1882862",540.0,197.0,1049.0,917.0,223.0,83.0,65.0,33.0,38.0,8.0,12.0,8.0,13.0,222.0,601.0,7275.0,578.0,511.0,223.0,30.0,45.0,30.0,37.0,957.0,933.0,255.0,0.0,24.0,259.0,0.0,24.0,0.0,24.0,24.0,39.0,0.0,24.0,2200.0,317.0,12592.0,735.0
2014,"West Lafayette, IN","16000US1882862",578.0,192.0,914.0,805.0,227.0,83.0,58.0,18.0,30.0,0.0,24.0,8.0,12.0,241.0,469.0,7151.0,451.0,456.0,190.0,29.0,39.0,33.0,41.0,906.0,887.0,233.0,0.0,24.0,235.0,0.0,24.0,0.0,24.0,19.0,29.0,0.0,24.0,2390.0,334.0,12457.0,588.0
2015,"West Lafayette, IN","16000US1882862",782.0,244.0,1114.0,939.0,232.0,104.0,69.0,54.0,54.0,0.0,24.0,17.0,20.0,239.0,569.0,8256.0,536.0,979.0,259.0,28.0,40.0,87.0,70.0,1153.0,1125.0,241.0,0.0,24.0,245.0,0.0,24.0,0.0,24.0,28.0,44.0,0.0,24.0,4139.0,410.0,16538.0,802.0
