year,geo_name,geo,travel_10to14,travel_10to14_moe,travel_15to19,travel_15to19_moe,travel_20to24,travel_20to24_moe,travel_25to29,travel_25to29_moe,travel_30to34,travel_30to34_moe,travel_35to39,travel_35to39_moe,travel_40to44,travel_40to44_moe,travel_45to59,travel_45to59_moe,travel_5to9,travel_5to9_moe,travel_60to89,travel_60to89_moe,travel_90over,travel_90over_moe,travel_less5,travel_less5_moe,workers,workers_moe
2013,"United States","01000US",19150700.0,35687.0,20753100.0,36590.0,19796400.0,38226.0,8189640.0,26370.0,18220900.0,38963.0,3673570.0,17953.0,4920000.0,17085.0,10154500.0,34367.0,13714700.0,27730.0,7488240.0,21442.0,3369670.0,21050.0,4308930.0,14549.0,133740000.0,148951.0
2013,"West Lafayette, IN","16000US1882862",3941.0,420.0,2737.0,396.0,1332.0,244.0,188.0,85.0,571.0,212.0,44.0,43.0,16.0,18.0,58.0,35.0,2211.0,316.0,249.0,101.0,182.0,98.0,552.0,150.0,12081.0,711.0
2014,"United States","01000US",19118200.0,34478.0,20908700.0,32874.0,19975600.0,35355.0,8356340.0,29603.0,18463800.0,32627.0,3769500.0,17079.0,5037200.0,19901.0,10409200.0,35177.0,13665100.0,26055.0,7742140.0,23407.0,3458210.0,20004.0,4261510.0,15215.0,135166000.0,147187.0
2014,"West Lafayette, IN","16000US1882862",4058.0,442.0,2548.0,376.0,1487.0,237.0,228.0,84.0,531.0,182.0,31.0,30.0,18.0,20.0,73.0,44.0,2093.0,277.0,211.0,89.0,190.0,83.0,533.0,172.0,12001.0,585.0
2015,"United States","01000US",19178600.0,31305.0,21178800.0,36495.0,20210800.0,34605.0,8539540.0,30168.0,18783100.0,30845.0,3878900.0,19741.0,5177960.0,20298.0,10746800.0,39541.0,13708200.0,29393.0,8049820.0,23886.0,3600890.0,19609.0,4215030.0,15695.0,137268000.0,148916.0
2015,"West Lafayette, IN","16000US1882862",5181.0,518.0,3458.0,490.0,1833.0,277.0,294.0,101.0,557.0,160.0,33.0,31.0,83.0,70.0,90.0,53.0,2803.0,337.0,274.0,104.0,189.0,89.0,764.0,159.0,15559.0,808.0
